,name,cost_text,coordinates,desc,beds,baths,parkings,weekly_rent
https://www.domain.com.au/611-408-lonsdale-street-melbourne-vic-3000-16071839,611/408 Lonsdale Street Melbourne VIC 3000,$430,"[-37.8125979, 144.9604012]",Manuel Flores,1.0,1.0,0.0,430.0
https://www.domain.com.au/7008-228-la-trobe-st-melbourne-vic-3000-16627648,7008/228 La Trobe St Melbourne VIC 3000,$850/W Furnished,"[-37.8096052, 144.962371]",Allen Iverson,2.0,1.0,0.0,850.0
https://www.domain.com.au/614-408-lonsdale-street-melbourne-vic-3000-16627541,614/408 Lonsdale Street Melbourne VIC 3000,$400/week,"[-37.8125979, 144.9604012]",Robin Yu,1.0,1.0,0.0,400.0
https://www.domain.com.au/1803-318-little-lonsdale-street-melbourne-vic-3000-16627439,1803/318 Little Lonsdale Street Melbourne VIC 3000,$925 pw,"[-37.8115806, 144.9602845]",Trish Ha,3.0,2.0,1.0,925.0
https://www.domain.com.au/5813-228-la-trobe-st-melbourne-vic-3000-16625931,5813/228 La Trobe St Melbourne VIC 3000,$750/W Unfurnished,"[-37.8096052, 144.962371]",Allen Iverson,2.0,1.0,0.0,750.0
https://www.domain.com.au/303-368-little-collins-street-melbourne-vic-3000-15541280,303/368 Little Collins Street Melbourne VIC 3000,$430 Per Week,"[-37.815461, 144.9623199]",Annette Kim,1.0,1.0,0.0,430.0
https://www.domain.com.au/1802-8-sutherland-street-melbourne-vic-3000-16622592,1802/8 Sutherland Street Melbourne VIC 3000,$700 pw,"[-37.8113164, 144.9609854]",Nik Bora,2.0,2.0,0.0,700.0
https://www.domain.com.au/410-17-singers-lane-melbourne-vic-3000-16621671,410/17 Singers Lane Melbourne VIC 3000,$350,"[-37.8110876, 144.9566218]",Sabrina Song,1.0,1.0,0.0,350.0
https://www.domain.com.au/46-283-spring-street-melbourne-vic-3000-16621610,46/283 Spring Street Melbourne VIC 3000,$850 per week,"[-37.8081467, 144.9712126]",Annalise Zamparo,2.0,2.0,1.0,850.0
https://www.domain.com.au/30-180-little-collins-street-melbourne-vic-3000-16621102,30/180 Little Collins Street Melbourne VIC 3000,$980.00,"[-37.8138453, 144.9679157]",Jayde Cashion,2.0,2.0,2.0,980.0
https://www.domain.com.au/415-87-franklin-street-melbourne-vic-3000-16620450,415/87 Franklin Street Melbourne VIC 3000,$450 pw,"[-37.8079459, 144.9617001]",Trish Ha,1.0,1.0,0.0,450.0
https://www.domain.com.au/3113-639-lonsdale-street-melbourne-vic-3000-16620323,3113/639 Lonsdale Street Melbourne VIC 3000,"$1,100.00","[-37.81525920000001, 144.9534241]",Steven Guan,3.0,2.0,1.0,1100.0
https://www.domain.com.au/708-500-flinders-street-melbourne-vic-3000-16618813,708/500 Flinders Street Melbourne VIC 3000,$325/week,"[-37.8200061, 144.9578332]",Robin Yu,1.0,1.0,0.0,325.0
https://www.domain.com.au/2402-280-spencer-street-melbourne-vic-3000-14114884,2402/280 Spencer Street Melbourne VIC 3000,$575 per week,"[-37.8139297, 144.952069]",MIA DE SANTIS,2.0,1.0,1.0,575.0
https://www.domain.com.au/2505-371-little-lonsdale-street-melbourne-vic-3000-16616766,2505/371 Little Lonsdale Street Melbourne VIC 3000,$590,"[-37.8116241, 144.9609753]",Laura Scott,1.0,1.0,0.0,590.0
https://www.domain.com.au/1908-81-a-beckett-street-melbourne-vic-3000-16615565,1908/81 A'Beckett Street Melbourne VIC 3000,$630,"[-37.80932200000001, 144.961332]",Sella Bustani,2.0,1.0,0.0,630.0
https://www.domain.com.au/717-555-st-kilda-road-melbourne-vic-3000-16613032,717/555 St Kilda Road Melbourne VIC 3000,$950 Per Week,"[-37.8470519, 144.9806754]",Debbie Davut,2.0,2.0,1.0,950.0
https://www.domain.com.au/305-118-franklin-street-melbourne-vic-3000-15471366,305/118 Franklin Street Melbourne VIC 3000,$400,"[-37.8082052, 144.9589035]",Manuel Flores,1.0,1.0,0.0,400.0
https://www.domain.com.au/2005-288-spencer-street-melbourne-vic-3000-16606980,2005/288 Spencer Street Melbourne VIC 3000,480 per week.,"[-37.8138136, 144.9520272]",Kim Te,1.0,1.0,0.0,480.0
https://www.domain.com.au/3803-200-spencer-street-melbourne-vic-3000-15347327,3803/200 Spencer Street Melbourne VIC 3000,$540,"[-37.816228, 144.9532465]",Natalie Subotsch,1.0,1.0,1.0,540.0
https://www.domain.com.au/811-639-lonsdale-street-melbourne-vic-3000-16600969,811/639 Lonsdale Street Melbourne VIC 3000,$700 per week,"[-37.81525920000001, 144.9534241]",Kim Te,2.0,2.0,0.0,700.0
https://www.domain.com.au/504-408-lonsdale-street-melbourne-vic-3000-16599819,504/408 Lonsdale Street Melbourne VIC 3000,$380,"[-37.8125979, 144.9604012]",Manuel Flores,1.0,1.0,0.0,380.0
