,year,SA2_CODE_2021,Median_tot_prsnl_inc_weekly,Median_rent_weekly,beds,baths,parkings,Nearest_station,Nearest_park,Nearest_shop,Nearest_hospital,Nearest_school,Nearest_supermarket,population,criminal
0,2017,201011005,668.3681083478178,305.773462947437,4.0,2.0,2.5,9.0633,13.9291,8.424,31.5861,2.3978,6.326666666666667,7492.0,160
1,2017,201011006,627.2980147269091,277.4847872886801,4.0,2.0,2.0,7.117,6.8843000000000005,7.1593,23.8044,2.9129,7.095,7489.0,825
2,2017,201011006,627.2980147269091,277.4847872886801,4.0,2.0,2.0,7.117,6.8843000000000005,7.1593,23.8044,2.9129,7.095,7489.0,1773
3,2017,201011006,627.2980147269091,277.4847872886801,4.0,2.0,2.0,7.117,6.8843000000000005,7.1593,23.8044,2.9129,7.095,7489.0,93
4,2017,201011008,532.3508789319561,227.47454983702903,3.0,1.0,1.0,1.9274,2.50055,1.3287,16.797449999999998,0.765,1.7333333333333334,14909.0,7377
5,2017,201011008,532.3508789319561,227.47454983702903,3.0,1.0,1.0,1.9274,2.50055,1.3287,16.797449999999998,0.765,1.7333333333333334,14909.0,1982
6,2017,201021009,650.7974113311382,264.274217093654,3.0,1.0,2.0,26.8269,64.7457,34.510400000000004,28.4285,11.2199,11.468333333333334,6063.0,1773
7,2017,201021009,650.7974113311382,264.274217093654,3.0,1.0,2.0,26.8269,64.7457,34.510400000000004,28.4285,11.2199,11.468333333333334,6063.0,386
8,2017,201021010,532.5110803076632,209.12791051825462,3.0,1.0,2.5,1.222,3.6766,17.2559,1.052,0.8286,2.441666666666667,7928.0,336
9,2017,201021011,577.6718656298976,277.72060155116736,2.0,1.5,2.0,28.8532,32.277950000000004,44.31255,32.447649999999996,1.36425,3.7491666666666665,9165.0,116
10,2017,201021011,577.6718656298976,277.72060155116736,2.0,1.5,2.0,28.8532,32.277950000000004,44.31255,32.447649999999996,1.36425,3.7491666666666665,9165.0,196
11,2017,201021011,577.6718656298976,277.72060155116736,2.0,1.5,2.0,28.8532,32.277950000000004,44.31255,32.447649999999996,1.36425,3.7491666666666665,9165.0,125
12,2017,201021012,633.2305191431717,203.83353371565207,3.0,2.0,,14.7993,28.0279,24.5373,14.1985,0.5845,12.975,5825.0,51
13,2017,201031013,465.7733356132892,158.88357615732184,2.5,1.0,2.0,25.9425,0.82175,27.7571,60.9771,1.0598,1.475,3331.0,89
14,2017,201031014,514.0898341905001,174.4530047606143,3.0,1.0,2.0,7.594600000000001,49.5133,43.5305,60.642,8.7371,44.473333333333336,4485.0,223
15,2017,201031015,540.8155677551615,209.12791051825462,2.5,1.0,2.0,26.8459,26.4676,27.02635,43.3878,0.68435,23.93,4636.0,362
16,2017,201031015,540.8155677551615,209.12791051825462,2.5,1.0,2.0,26.8459,26.4676,27.02635,43.3878,0.68435,23.93,4636.0,25
17,2017,201031016,468.14087488441123,207.42745786732962,2.0,1.0,1.0,1.1875,26.940900000000003,1.1548,51.5046,1.0319,2.35,8027.0,1151
18,2017,201031017,451.94252248372175,167.30232841460372,4.0,2.0,2.0,5.4435,31.4965,5.4282,46.0484,4.7225,7.786666666666666,5328.0,75
19,2017,202011019,556.2762961478701,251.6311913368912,3.0,1.0,1.0,3.0987,46.6094,7.4859,4.9513,1.2735999999999998,8.028333333333332,12405.0,1210
20,2017,202011022,591.4338295762755,257.53224070459976,3.0,1.0,1.0,3.4995,38.5346,3.0807,4.8252,1.3947,4.34,20130.0,5941
21,2017,202011022,591.4338295762755,257.53224070459976,3.0,1.0,1.0,3.4995,38.5346,3.0807,4.8252,1.3947,4.34,20130.0,2068
22,2017,202011023,752.1900756641604,339.4437926584545,4.0,2.0,2.0,8.1179,48.576350000000005,9.34795,8.41065,1.59545,3.9416666666666673,5255.0,1060
23,2017,202021026,716.1708382643734,275.18622765475624,3.5,2.0,2.0,12.76515,41.55145,16.49215,19.705450000000003,4.0309,8.688333333333334,7566.0,136
24,2017,202021026,716.1708382643734,275.18622765475624,3.5,2.0,2.0,12.76515,41.55145,16.49215,19.705450000000003,4.0309,8.688333333333334,7566.0,44
25,2017,202021027,589.335780463517,273.4444026703343,3.0,1.5,2.0,2.8698,3.9509999999999996,32.98295,4.2958,1.1175000000000002,20.674166666666665,10899.0,654
26,2017,202021027,589.335780463517,273.4444026703343,3.0,1.5,2.0,2.8698,3.9509999999999996,32.98295,4.2958,1.1175000000000002,20.674166666666665,10899.0,194
27,2017,202021028,545.5426790625446,239.229027651621,3.0,1.0,3.0,18.4163,20.1629,34.079,22.9452,0.4977,0.8016666666666666,8691.0,99
28,2017,202021029,483.5801468114137,210.7747904123567,3.0,2.0,2.0,52.2945,55.8907,45.3688,45.6747,0.9739,3.058333333333333,4563.0,208
29,2017,202021030,644.2811798819993,309.56968628885573,3.0,1.5,1.0,1.6402,34.14425,16.85445,44.19415,0.8129,1.2366666666666668,9915.0,641
30,2017,202031032,580.6798841785798,189.04429307496287,3.0,1.0,2.0,27.6282,86.132,40.564,38.0544,11.8955,25.956666666666667,4479.0,26
31,2017,203011034,736.1032793614935,328.0695356844474,4.0,2.0,2.0,24.479350000000004,63.97330000000001,25.997500000000002,63.099199999999996,4.050050000000001,7.960833333333333,6874.0,218
32,2017,203011035,654.9874115500872,218.03897905997567,3.5,2.0,3.0,32.8163,75.40414999999999,33.231849999999994,73.03954999999999,3.5161,17.428333333333335,7071.0,18
33,2017,203011035,654.9874115500872,218.03897905997567,3.5,2.0,3.0,32.8163,75.40414999999999,33.231849999999994,73.03954999999999,3.5161,17.428333333333335,7071.0,11
