,name,geometry,cost,beds,baths,parkings,SA2_CODE21,SA2_NAME21,Nearest_station,Nearest_park,Nearest_shop,Nearest_hospital,Nearest_school,Nearest_supermarket
123,403/9 Degraves Street Melbourne VIC 3000,POINT (144.9657444 -37.8175531),750.0,1.0,1.0,1.0,206041503,Melbourne CBD - East,2.5323,2.4615,1.2258,2.4793000000000003,1.149,1.3516666666666666
137,2306/318 Russell Street Melbourne VIC 3000,POINT (144.9667048 -37.809279599999996),570.0,1.0,1.0,,206041503,Melbourne CBD - East,0.7843,1.616,0.4164,2.0318,0.45339999999999997,0.9183333333333333
139,148/283 Spring Street Melbourne VIC 3000,POINT (144.9712126 -37.8081467),820.0,3.0,1.0,1.0,206041503,Melbourne CBD - East,0.5548,1.7367000000000001,0.9412,2.1588000000000003,0.43289999999999995,0.9083333333333333
143,1904/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),940.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
144,1503/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),960.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
146,2701/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),1350.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
151,3810/318 Russell Street Melbourne VIC 3000,POINT (144.9667048 -37.809279599999996),780.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7843,1.616,0.4164,2.0318,0.45339999999999997,0.9183333333333333
160,2503/33 Mackenzie Street Melbourne VIC 3000,POINT (144.9669868 -37.8078362),680.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.8886000000000001,1.4221,0.7432000000000001,1.8379,0.2596,1.2033333333333334
166,1404/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),920.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
173,24/180 Little Collins Street Melbourne VIC 3000,POINT (144.9679067 -37.8138601),980.0,2.0,2.0,2.0,206041503,Melbourne CBD - East,2.298,2.1298000000000004,0.5234,2.5456,0.9146,1.1933333333333331
177,39/33 Latrobe Street Melbourne VIC 3000,POINT (144.9703422 -37.8079019),650.0,2.0,1.0,1.0,206041503,Melbourne CBD - East,0.8382000000000001,1.7152,0.8317,2.1136,0.9689,1.0866666666666667
178,81/33 Latrobe Street Melbourne VIC 3000,POINT (144.9703422 -37.8079019),800.0,3.0,2.0,1.0,206041503,Melbourne CBD - East,0.8382000000000001,1.7152,0.8317,2.1136,0.9689,1.0866666666666667
179,112/318 Little Bourke Street Melbourne VIC 3000,POINT (144.9631733 -37.8129971),570.0,2.0,1.0,,206041503,Melbourne CBD - East,0.5372,1.9237,0.49960000000000004,1.9416,1.2675999999999998,1.1933333333333331
181,63/30 Russell Street Melbourne VIC 3000,POINT (144.9698959 -37.8160074),490.0,1.0,1.0,,206041503,Melbourne CBD - East,1.7574,2.3284000000000002,0.722,2.7441999999999998,0.5566,1.5066666666666668
182,3203/318 Russell Street Melbourne VIC 3000,POINT (144.9667048 -37.809279599999996),830.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7843,1.616,0.4164,2.0318,0.45339999999999997,0.9183333333333333
183,612/108 Flinders Street Melbourne VIC 3000,POINT (144.9710265 -37.8159974),600.0,1.0,1.0,,206041503,Melbourne CBD - East,1.8603,2.4314,0.8249,2.8472,0.6595,1.8333333333333333
191,Unit 702/250 Elizabeth Street Melbourne VIC 3000,POINT (144.9626295 -37.812508),785.0,2.0,2.0,,206041503,Melbourne CBD - East,0.5741,1.9607,0.5366000000000001,1.9786,0.805,2.1966666666666668
192,Melbourne VIC 3000,POINT (144.963937 -37.8152065),395.0,1.0,1.0,,206041503,Melbourne CBD - East,2.3935999999999997,2.1327,0.7086,2.1506,1.0102,0.5083333333333333
202,2906/318 Russell Street Melbourne VIC 3000,POINT (144.9666951 -37.8092219),580.0,1.0,1.0,,206041503,Melbourne CBD - East,0.7906,1.6222999999999999,0.42269999999999996,2.0381,0.4597,0.9299999999999999
207,2204/23 Mackenzie Street Melbourne VIC 3000,POINT (144.9669603 -37.8076799),850.0,2.0,2.0,,206041503,Melbourne CBD - East,0.8715,1.4051,0.7262000000000001,1.8209000000000002,0.2425,1.1516666666666666
209,1203/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),950.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
210,1304/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),920.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
211,1501/39 Lonsdale Street Melbourne VIC 3000,POINT (144.9711262 -37.8099303),500.0,2.0,1.0,,206041503,Melbourne CBD - East,0.5899,2.0288,0.6454,2.4446,0.4928,0.375
212,504/155 Bourke Street Melbourne VIC 3000,POINT (144.9688149 -37.81280479999999),400.0,1.0,1.0,,206041503,Melbourne CBD - East,0.573,1.9609,0.3545,2.3767,0.3921,0.7083333333333334
213,2409/318 Russell Street Melbourne VIC 3000,POINT (144.9666951 -37.8092219),840.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7906,1.6222999999999999,0.42269999999999996,2.0381,0.4597,0.9299999999999999
215,1801/318 Russell Street Melbourne VIC 3000,POINT (144.9666951 -37.8092219),780.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7906,1.6222999999999999,0.42269999999999996,2.0381,0.4597,0.9299999999999999
218,702/33 MacKenzie Street Melbourne VIC 3000,POINT (144.9669868 -37.8078362),600.0,2.0,1.0,1.0,206041503,Melbourne CBD - East,0.8886000000000001,1.4221,0.7432000000000001,1.8379,0.2596,1.2033333333333334
223,2402/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),920.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
226,1709/27 Little Collins Street Melbourne VIC 3000,POINT (144.9727786 -37.8128985),480.0,1.0,1.0,,206041503,Melbourne CBD - East,0.5908,2.4387,0.8322999999999999,2.8545,0.3947,2.1283333333333334
227,315/299 Spring Street Melbourne VIC 3000,POINT (144.9709246 -37.8078751),680.0,2.0,2.0,1.0,206041503,Melbourne CBD - East,0.9036000000000001,1.6699000000000002,0.9591000000000001,2.0919,0.6394,1.3266666666666667
235,3805/318 Russell Street Melbourne VIC 3000,POINT (144.9666951 -37.8092219),580.0,1.0,1.0,,206041503,Melbourne CBD - East,0.7906,1.6222999999999999,0.42269999999999996,2.0381,0.4597,0.9299999999999999
236,2802/141 La Trobe St Melbourne VIC 3000,POINT (144.9674745 -37.8087593),680.0,2.0,2.0,,206041503,Melbourne CBD - East,0.9891,1.8208,0.7871,2.2365999999999997,0.6582,2.0566666666666666
240,903/23 Mackenzie Street Melbourne VIC 3000,POINT (144.9669603 -37.8076799),580.0,1.0,1.0,,206041503,Melbourne CBD - East,0.8715,1.4051,0.7262000000000001,1.8209000000000002,0.2425,1.1516666666666666
243,3601/318 Russell Street Melbourne VIC 3000,POINT (144.9666951 -37.8092219),780.0,2.0,2.0,,206041503,Melbourne CBD - East,0.7906,1.6222999999999999,0.42269999999999996,2.0381,0.4597,0.9299999999999999
245,1202/141 La Trobe St Melbourne VIC 3000,POINT (144.9674745 -37.8087593),620.0,2.0,1.0,,206041503,Melbourne CBD - East,0.9891,1.8208,0.7871,2.2365999999999997,0.6582,2.0566666666666666
249,2706/8 Exploration Lane Melbourne VIC 3000,POINT (144.9684551 -37.80911469999999),635.0,2.0,2.0,,206041503,Melbourne CBD - East,0.6779,1.7474,0.6714,2.1479,0.3788,0.8816666666666666
253,2901/63 La Trobe Street Melbourne VIC 3000,POINT (144.9695946 -37.8080736),1600.0,3.0,2.0,1.0,206041503,Melbourne CBD - East,0.7677,1.6448,0.7612000000000001,2.0431,0.8985,0.8983333333333333
259,109/11-17 Cohen Place Melbourne VIC 3000,POINT (144.9690402 -37.8109775),575.0,1.0,1.0,,206041503,Melbourne CBD - East,0.7804,1.9594,0.376,2.3752,0.4813,1.035
260,304/238 Flinders Lane Melbourne VIC 3000,POINT (144.9660795 -37.8165594),540.0,2.0,1.0,,206041503,Melbourne CBD - East,2.544,2.4731,1.2375,2.491,1.1607,0.8033333333333333
263,907/238 Flinders Street Melbourne VIC 3000,POINT (144.9664983 -37.8175167),420.0,1.0,1.0,,206041503,Melbourne CBD - East,2.4286999999999996,2.6159,1.3802999999999999,2.6338000000000004,1.3035,0.5
264,11i/131 Lonsdale St Melbourne VIC 3000,POINT (144.9685513 -37.810779),420.0,1.0,1.0,,206041503,Melbourne CBD - East,0.7632000000000001,1.9647999999999999,0.3583,2.3806,0.5822999999999999,0.9633333333333333
265,132/33 Latrobe Street Melbourne VIC 3000,POINT (144.9703422 -37.8079019),650.0,2.0,1.0,1.0,206041503,Melbourne CBD - East,0.8382000000000001,1.7152,0.8317,2.1136,0.9689,1.0866666666666667
269,116/39 Lonsdale Street Melbourne VIC 3000,POINT (144.9711071 -37.8099061),450.0,2.0,1.0,,206041503,Melbourne CBD - East,0.5892999999999999,2.0282,0.6447999999999999,2.444,0.49219999999999997,0.3733333333333333
