,name,geometry,cost,beds,baths,parkings,lga_code,lga_name,nearest_station,nearest_park,nearest_shop,nearest_hospital,nearest_school,nearest_supermarket,distance_to_cbd
11341,52 Childers Street Cranbourne VIC 3977,POINT (145.289034 -38.112789),320.0,1.0,1.0,0.0,21610,Casey,4.2283333333333335,11.751666666666667,3.865,25.946666666666665,0.6866666666666668,2.066666666666667,48.67666666666666
11342,33 Lorna Street Street Cranbourne VIC 3977,POINT (145.2776895 -38.1068449),460.0,3.0,1.0,1.0,21610,Casey,2.683333333333333,12.851666666666667,2.31,25.173333333333336,1.2766666666666666,2.8466666666666667,47.90333333333333
11343,80 Springhill Drive Cranbourne VIC 3977,POINT (145.2900093 -38.0857502),530.0,3.0,2.0,2.0,21610,Casey,5.405,8.139999999999999,5.5183333333333335,24.426666666666666,1.5666666666666667,1.065,47.156666666666666
11344,22 Bindarri Grove Botanic Ridge VIC 3977,POINT (145.2835745 -38.1447178),600.0,4.0,2.0,2.0,21610,Casey,11.095,19.975,9.045,32.29333333333333,3.9833333333333334,3.945,55.02333333333333
11345,11 Talara Court Cranbourne VIC 3977,POINT (145.2903116 -38.0967489),500.0,3.0,2.0,0.0,21610,Casey,4.405,9.708333333333334,5.4383333333333335,27.48166666666667,3.525,2.055,50.211666666666666
11346,24 Clarendon Street Cranbourne VIC 3977,POINT (145.2752619 -38.1048579),450.0,3.0,1.0,2.0,21610,Casey,2.643333333333333,12.811666666666667,3.1516666666666664,24.73,0.9,3.433333333333333,47.46
11347,10 Chambers Crescent Cranbourne North VIC 3977,POINT (145.3305722 -38.0744082),530.0,4.0,2.0,2.0,21610,Casey,13.778333333333334,5.305000000000001,7.246666666666667,26.485,3.5566666666666666,4.716666666666667,48.498333333333335
11349,28 Arbourlea Boulevard Cranbourne North VIC 3977,POINT (145.33135 -38.0816703),580.0,4.0,2.0,2.0,21610,Casey,12.401666666666667,4.451666666666667,7.191666666666666,25.108333333333334,1.3733333333333335,3.2183333333333333,47.12166666666667
11350,27 Hammersmith Way Cranbourne East VIC 3977,POINT (145.301282 -38.1218999),580.0,4.0,2.0,2.0,21610,Casey,7.343333333333334,13.418333333333333,6.551666666666667,28.631666666666668,0.8333333333333334,4.721666666666667,51.361666666666665
11352,46 Stringyleaf Street Botanic Ridge VIC 3977,POINT (145.288109 -38.1475184),550.0,4.0,2.0,2.0,21610,Casey,9.058333333333334,17.936666666666667,7.006666666666666,29.86,1.3383333333333334,1.03,52.59166666666667
11353,11 Evergreen Court Cranbourne North VIC 3977,POINT (145.2739665 -38.0737381),600.0,4.0,2.0,2.0,21610,Casey,3.58,10.84,7.725,23.846666666666668,1.84,2.908333333333333,45.861666666666665
